Date,Volume,成交金額,Open,High,Low,Close,漲跌價差,成交筆數,min,max
2017-07-03,19421435,"1,186,318,625",61.20,61.20,60.80,61.10,+0.10,"2,411",,
2017-07-04,4867361,"296,322,376",60.80,61.30,60.60,60.60,-0.50,"1,771",,
2017-07-05,4797565,"291,838,360",60.60,61.20,60.20,61.00,+0.40,"2,191",,
2017-07-06,3599954,"219,094,075",60.80,61.10,60.50,61.10,+0.10,"1,650",,
2017-07-07,4357435,"263,107,902",60.60,60.70,60.30,60.30,-0.80,"1,896",,
2017-07-10,4312105,"259,388,200",60.30,60.50,59.90,60.10,-0.20,"2,707",,
2017-07-11,5984234,"361,322,240",60.00,60.60,60.00,60.30,+0.20,"3,295",,
2017-07-12,9102574,"548,597,221",60.10,60.50,60.00,60.20,-0.10,"3,170",,
2017-07-13,11244507,"679,476,846",60.30,60.80,60.10,60.30,+0.10,"4,077",59.9,61.3
2017-07-14,6197555,"374,015,188",60.30,60.50,60.10,60.40,+0.10,"2,888",59.9,61.3
2017-07-17,7147269,"431,912,663",60.40,60.60,60.20,60.20,-0.20,"3,365",59.9,61.2
2017-07-18,6748968,"407,345,980",60.20,60.50,60.20,60.30,+0.10,"4,460",59.9,61.1
2017-07-19,9315689,"562,511,686",60.30,60.70,60.20,60.30, 0.00,"3,692",59.9,60.8
2017-07-20,6994293,"419,957,280",60.30,60.50,59.90,60.00,-0.30,"3,187",59.9,60.8
2017-07-21,5606970,"336,682,300",60.00,60.30,59.90,60.00, 0.00,"3,051",59.9,60.8
2017-07-24,9927252,"600,131,584",60.50,60.80,60.20,60.60,+0.60,"4,238",59.9,60.8
2017-07-25,6969272,"420,703,443",60.80,60.80,60.10,60.30,-0.30,"3,528",59.9,60.8
2017-07-26,7937132,"480,748,637",60.70,61.00,60.30,60.50,+0.20,"3,008",59.9,61.0
2017-07-27,0,0,60.50,60.50,60.50,60.50, 0.00,0,59.9,61.0
2017-07-28,30535605,"1,793,098,664",58.20,59.80,58.20,58.40,X0.00,"12,161",58.2,61.0
2017-07-31,29464479,"1,692,671,303",58.40,58.60,56.50,57.80,-0.60,"9,533",56.5,61.0
2017-08-01,27518710,"1,619,784,650",57.9,59.3,57.8,59.0,+1.20,"9,170",56.5,61.0
2017-08-02,19323559,"1,138,151,206",59.1,59.2,58.7,58.8,-0.20,"8,006",56.5,61.0
2017-08-03,19448315,"1,111,559,788",56.4,57.5,56.4,57.5,X0.00,"5,239",56.4,61.0
2017-08-04,22335987,"1,289,053,173",57.6,57.8,57.5,57.8,+0.30,"3,895",56.4,61.0
2017-08-07,5743555,"330,463,830",58.0,58.1,57.2,57.4,-0.40,"2,436",56.4,61.0
2017-08-08,8547122,"491,654,694",57.4,57.8,57.4,57.6,+0.20,"3,868",56.4,60.5
2017-08-09,16293347,"937,076,765",57.1,58.5,57.1,57.4,-0.20,"4,891",56.4,59.8
2017-08-10,8867094,"511,728,493",57.7,58.0,57.4,57.8,+0.40,"3,487",56.4,59.3
2017-08-11,5599384,"322,335,291",57.8,57.8,57.4,57.7,-0.10,"2,856",56.4,59.3
2017-08-14,6008997,"346,862,699",57.8,57.9,57.5,57.5,-0.20,"3,271",56.4,59.2
2017-08-15,13861246,"812,572,646",57.8,59.5,57.8,59.1,+1.60,"5,071",56.4,59.5
2017-08-16,9705677,"574,991,886",59.4,59.5,59.0,59.4,+0.30,"4,773",57.1,59.5
