Date,Volume,成交金額,Open,High,Low,Close,漲跌價差,成交筆數,min,max,RSV,K,D,Ma_5,Ma_10,Ma_20,Ma_60,Ma_120
2019-01-29,7458363,"541,156,908",72.2,73.1,72.2,72.5,0.0,"3,401",71.6,73.5,0.4736842105263174,0.9893961991074218,2.598076414424252,72.63999999999999,72.69,,,
2019-01-30,9971047,"720,176,690",72.2,73.0,71.9,71.9,-0.6,"3,805",71.6,73.5,0.15789473684211078,0.7122290450189848,1.9694606246224962,72.51999999999998,72.58,,,
2019-02-11,18326224,"1,337,703,023",73.3,73.5,72.2,72.5,0.6,"5,239",71.6,73.5,0.4736842105263174,0.6327141001880956,1.5238784498110292,72.53999999999999,72.53999999999999,,,
2019-02-12,8290705,"610,820,193",73.4,74.0,72.8,73.9,1.4,"4,471",71.6,74.0,0.9583333333333358,0.7412538445698422,1.2630035813973002,72.65999999999998,72.72,,,
2019-02-13,6308026,"460,279,386",74.2,74.2,72.6,72.7,-1.2,"3,141",71.6,74.2,0.42307692307692496,0.6351948707388697,1.0537340111778233,72.69999999999997,72.71000000000001,,,
2019-02-14,5268702,"385,055,946",72.3,73.5,72.3,73.0,0.3,"2,477",71.6,74.2,0.5384615384615389,0.6029504266464261,0.9034728163340242,72.79999999999998,72.72,,,
2019-02-15,4715703,"343,491,560",72.4,73.4,72.4,72.7,-0.3,"2,604",71.9,74.2,0.34782608695652095,0.5179089800831244,0.7749515375837243,72.95999999999997,72.74000000000001,,,
2019-02-18,14289349,"1,042,205,284",73.4,73.8,72.9,73.4,0.7,"2,227",71.9,74.2,0.652173913043479,0.562663957736576,0.7041890109680081,73.13999999999996,72.84,,,
2019-02-19,3031221,"222,982,739",73.7,73.7,73.2,73.6,0.2,"1,891",71.9,74.2,0.7391304347826047,0.6214861167519188,0.676621379562645,73.07999999999997,72.87000000000002,72.7,,
2019-02-20,8242325,"604,857,321",73.7,73.9,72.8,73.4,-0.2,"3,806",71.9,74.2,0.652173913043479,0.6317153821824388,0.661652713769243,73.21999999999997,72.96000000000001,72.805,,
2019-02-21,7399340,"546,878,660",73.2,74.2,73.2,74.2,0.8,"4,416",72.2,74.2,1.0,0.7544769214549591,0.6925941163311483,73.45999999999997,73.13000000000002,72.91000000000001,,
2019-02-22,6037521,"450,397,742",74.0,75.0,73.8,75.0,0.8,"3,511",72.3,75.0,1.0,0.8363179476366394,0.7405020600996453,73.91999999999997,73.44000000000003,73.01000000000002,,
2019-02-25,5652867,"419,403,171",74.4,74.7,73.5,74.4,-0.6,"2,402",72.3,75.0,0.7777777777777801,0.8168045576836862,0.7659362259609922,74.11999999999998,73.63000000000002,73.08500000000001,,
2019-02-26,4341730,"322,938,862",73.9,74.8,73.9,74.5,0.1,"2,052",72.3,75.0,0.814814814814815,0.8161413100607291,0.7826712539942378,74.29999999999998,73.69000000000003,73.20500000000001,,
2019-02-27,8259277,"618,412,930",74.5,75.0,74.1,75.0,0.5,"3,316",72.4,75.0,1.0,0.8774275400404861,0.8142566826763205,74.61999999999998,73.92000000000002,73.31500000000003,,
2019-03-04,11995239,"874,469,374",73.5,74.2,72.5,72.5,-2.5,"6,637",72.5,75.0,0.0,0.584951693360324,0.737821686237655,74.27999999999999,73.87000000000002,73.29500000000002,,
2019-03-05,4913723,"356,309,799",72.5,73.0,72.3,72.6,0.1,"2,611",72.3,75.0,0.11111111111110994,0.42700483261058597,0.6342160683619653,73.79999999999998,73.86000000000001,73.30000000000001,,
2019-03-06,3605951,"263,786,645",72.5,73.4,72.5,73.3,0.7,"2,060",72.3,75.0,0.37037037037036996,0.408126678530514,0.5588529384181482,73.57999999999997,73.85000000000001,73.345,,
2019-03-07,5557314,"407,251,360",73.5,73.7,73.0,73.1,-0.2,"2,451",72.3,75.0,0.29629629629629495,0.37084988445244094,0.49618525376291245,73.29999999999998,73.80000000000001,73.33500000000001,,
2019-03-08,8862429,"637,022,989",72.3,72.4,71.5,71.7,-1.4,"4,473",71.5,75.0,0.05714285714285795,0.2662808753492466,0.41955046095835713,72.63999999999997,73.63000000000002,73.295,,
2019-03-11,5918092,"429,178,474",72.5,72.9,72.1,72.5,0.8,"2,672",71.5,75.0,0.2857142857142857,0.27275867880425964,0.3706198669069912,72.63999999999997,73.46000000000001,73.295,,
2019-03-12,5614906,"409,286,070",72.5,73.3,72.2,72.5,0.0,"3,132",71.5,75.0,0.2857142857142857,0.27707721444093497,0.33943898275163914,72.61999999999998,73.21000000000001,73.325,,
2019-03-13,3985644,"287,218,405",72.2,72.7,71.8,71.9,-0.6,"2,517",71.5,75.0,0.1142857142857159,0.22281338105586193,0.3005637821863801,72.33999999999997,72.96000000000001,73.295,,
2019-03-14,5840632,"422,119,369",71.9,72.6,71.9,72.3,0.4,"2,640",71.5,74.2,0.29629629629629495,0.24730768613600626,0.2828117501695888,72.17999999999998,72.74000000000001,73.215,,
2019-03-15,18189734,"1,333,083,972",72.5,74.2,72.4,73.3,1.0,"6,003",71.5,74.2,0.666666666666665,0.38709401297955914,0.3175725044395789,72.49999999999997,72.57000000000001,73.24499999999999,,
2019-03-18,3190154,"234,187,797",73.4,73.6,73.0,73.6,0.3,"1,413",71.5,74.2,0.7777777777777749,0.5173219345789644,0.38415564781937406,72.71999999999998,72.68,73.27499999999999,,
2019-03-19,3511462,"258,201,036",73.6,73.9,73.2,73.5,-0.1,"1,835",71.5,74.2,0.7407407407407399,0.5917948699662228,0.45336872186832355,72.91999999999999,72.77000000000001,73.31499999999998,,
2019-03-20,3767145,"277,063,448",73.3,73.7,73.3,73.6,0.1,"1,782",71.5,74.2,0.7777777777777749,0.6537891725700735,0.5201755387689069,73.25999999999999,72.80000000000001,73.32499999999997,,
2019-03-21,4577794,"336,509,634",73.6,73.7,73.2,73.5,-0.1,"2,178",71.8,74.2,0.7083333333333328,0.6719705594911599,0.5707738790096578,73.49999999999999,72.84,73.31999999999998,,
2019-03-22,3494646,"257,129,701",73.5,73.9,73.3,73.9,0.4,"1,864",71.8,74.2,0.8750000000000014,0.7396470396607737,0.6270649325600297,73.61999999999999,73.06,73.34499999999998,,
2019-03-25,3757540,"277,726,938",73.3,74.2,73.0,74.2,0.3,"1,948",71.8,74.2,1.0,0.8264313597738491,0.6935204082979695,73.73999999999998,73.23,73.34499999999998,,
2019-03-26,3405159,"253,280,234",73.9,74.8,73.8,74.8,0.6,"2,022",71.9,74.8,1.0,0.8842875731825659,0.7571094632595016,73.99999999999999,73.46000000000001,73.33499999999998,,
2019-03-27,4740634,"353,419,322",73.6,75.2,73.6,74.7,-0.1,"2,443",72.4,75.2,0.8214285714285713,0.8633345725979009,0.792517833038968,74.21999999999998,73.74000000000001,73.34999999999998,,
2019-03-28,11136732,"824,369,562",73.8,74.6,73.2,74.6,-0.1,"4,101",73.0,75.2,0.7272727272727237,0.8179806241561751,0.8010054300780369,74.43999999999998,73.97000000000001,73.35499999999998,,
2019-03-29,11067099,"826,382,664",74.8,75.0,74.0,74.8,0.2,"4,063",73.0,75.2,0.8181818181818158,0.8180476888313887,0.8066861829958208,74.61999999999998,74.12000000000002,73.34499999999997,,
2019-04-01,7023008,"526,090,568",75.0,75.3,74.6,75.0,0.2,"3,373",73.0,75.3,0.8695652173913054,0.835220198351361,0.8161975214476676,74.77999999999999,74.26000000000002,73.46999999999997,,
2019-04-02,6443770,"483,250,992",75.1,75.2,74.4,75.1,0.1,"2,670",73.0,75.3,0.9130434782608682,0.8611612916545299,0.8311854448499549,74.83999999999997,74.42000000000002,73.59499999999997,,
2019-04-03,7360487,"552,233,896",75.1,75.3,74.6,75.0,-0.1,"2,802",73.0,75.3,0.8695652173913054,0.8639626002334551,0.8421111633111216,74.89999999999998,74.56000000000002,73.67999999999998,,
2019-04-08,25515483,"1,888,875,584",74.4,74.8,73.5,74.1,-0.9,"5,188",73.0,75.3,0.4782608695652155,0.7353953566773752,0.8065392277665394,74.79999999999998,74.62000000000002,73.72999999999998,,
2019-04-09,6397034,"471,823,268",73.5,74.2,73.5,73.9,-0.2,"2,919",73.2,75.3,0.3333333333333356,0.601374682229362,0.7381510459208136,74.61999999999998,74.62000000000002,73.83999999999997,,
2019-04-10,9122649,"670,906,081",73.4,74.0,73.3,73.5,-0.4,"3,989",73.2,75.3,0.14285714285714188,0.4485355024386219,0.6416125314267497,74.31999999999996,74.55000000000001,73.88999999999997,,
2019-04-11,13979872,"1,021,287,527",73.2,73.5,72.3,72.4,-1.1,"4,228",72.3,75.3,0.03333333333333618,0.31013477940352663,0.5311199474190087,73.77999999999997,74.31000000000002,73.88499999999998,,
2019-04-12,5384100,"393,740,265",73.3,73.5,72.7,73.5,1.1,"2,298",72.3,75.3,0.40000000000000097,0.3400898529356847,0.4674432492579007,73.47999999999998,74.19000000000001,73.96499999999997,,
2019-04-15,5943399,"437,206,529",73.7,73.9,73.1,73.6,0.1,"2,660",72.3,75.3,0.4333333333333324,0.37117101306823397,0.43535250386134505,73.37999999999997,74.09,74.02999999999997,,
2019-04-16,7029862,"517,586,387",73.4,73.8,73.3,73.6,0.0,"3,003",72.3,75.3,0.4333333333333324,0.3918917864899334,0.4208655980708745,73.31999999999998,73.97000000000001,74.04499999999997,,
2019-04-17,8243300,"601,726,700",73.3,73.4,72.8,72.8,-0.8,"3,345",72.3,75.3,0.16666666666666666,0.3168167465488445,0.38618264756353116,73.17999999999998,73.75000000000001,74.00499999999997,,
2019-04-18,21730076,"1,551,534,506",72.6,72.6,71.0,71.1,-1.7,"8,284",71.0,74.8,0.026315789473682735,0.21998309419045722,0.3307827964391732,72.91999999999999,73.35000000000001,73.88499999999996,,
2019-04-19,2881127,"206,329,644",71.3,71.9,71.3,71.6,0.5,"2,002",71.0,74.2,0.18749999999999806,0.20915539612697082,0.29024032966843905,72.53999999999999,73.01000000000002,73.78499999999997,,
2019-04-22,1551681,"111,467,831",72.0,72.1,71.6,71.7,0.1,"1,226",71.0,74.0,0.23333333333333428,0.21721470852909194,0.26589845595532335,72.16,72.77000000000001,73.69499999999996,73.23833333333336,
2019-04-23,6121894,"440,400,026",71.6,72.3,71.5,72.0,0.3,"2,479",71.0,73.9,0.34482758620689585,0.2597523344216932,0.2638497487774466,71.83999999999999,72.58000000000001,73.59999999999997,73.25000000000001,
2019-04-24,11778228,"847,753,650",71.9,72.3,71.8,72.0,0.0,"2,855",71.0,73.9,0.34482758620689585,0.2881107516834274,0.2719367497461068,71.67999999999998,72.43000000000002,73.48999999999997,73.24833333333335,
2019-04-25,12248001,"875,352,642",71.9,71.9,71.3,71.4,-0.6,"3,719",71.0,73.9,0.1379310344827603,0.2380508459498717,0.2606414484806951,71.73999999999998,72.33000000000001,73.31999999999996,73.22166666666666,
2019-04-26,5155082,"369,360,754",71.2,72.1,71.0,72.0,0.6,"2,003",71.0,73.8,0.3571428571428575,0.27774818301420023,0.2663436933251968,71.81999999999998,72.18000000000002,73.18499999999997,73.20666666666668,
2019-04-29,4917238,"357,041,593",72.2,72.9,72.1,72.8,0.8,"2,626",71.0,73.4,0.749999999999997,0.43516545534279916,0.3226176139977309,72.03999999999999,72.10000000000001,73.09499999999997,73.21833333333333,
2019-04-30,8720472,"636,419,420",72.3,73.4,72.3,73.4,0.6,"3,493",71.0,73.4,1.0,0.6234436368951994,0.4228929549635537,72.31999999999998,72.08000000000001,73.02499999999998,73.22833333333332,
2019-05-02,8121361,"596,493,573",73.4,73.7,73.0,73.7,0.3,"3,133",71.0,73.7,1.0,0.7489624245967996,0.5315827781746356,72.65999999999998,72.17000000000002,72.95999999999998,73.24166666666666,
2019-05-03,5309979,"390,576,526",73.7,73.8,73.1,73.8,0.1,"2,507",71.0,73.8,1.0,0.8326416163978664,0.6319357242490459,73.13999999999999,72.44000000000001,72.89499999999998,73.26333333333334,
2019-05-06,7498423,"544,112,780",72.3,73.1,72.1,73.1,-0.7,"2,651",71.0,73.8,0.7499999999999988,0.8050944109319105,0.6896552864766674,73.35999999999999,72.59,72.79999999999998,73.27500000000002,
2019-05-07,8500909,"626,374,980",73.1,74.0,72.8,74.0,0.9,"3,279",71.0,74.0,1.0,0.8700629406212737,0.7497911711915362,73.6,72.82000000000001,72.79499999999999,73.28666666666668,
2019-05-08,25523728,"1,955,084,628",79.0,79.0,75.0,76.4,2.4,"11,363",71.0,79.0,0.6750000000000007,0.8050419604141826,0.7682081009324182,74.2,73.26,72.91999999999999,73.35166666666667,
2019-05-09,20832968,"1,582,276,730",75.7,76.8,74.5,76.5,0.1,"10,193",71.0,79.0,0.6875,0.7658613069427883,0.7674258362692082,74.76,73.71000000000001,73.06999999999998,73.41833333333334,
2019-05-10,15623588,"1,204,886,576",76.4,77.8,76.0,77.3,0.8,"7,931",72.1,79.0,0.7536231884057969,0.7617819340971245,0.7655445355451802,75.46000000000001,74.3,73.31499999999997,73.50833333333335,
2019-05-13,10579630,"819,404,099",77.0,78.2,76.8,77.7,0.4,"5,784",72.1,79.0,0.8115942028985513,0.7783860236976,0.7698250315959867,76.38,74.87,73.52499999999998,73.59500000000001,
2019-05-14,13693169,"1,066,468,082",77.8,78.2,77.1,78.2,0.5,"7,186",72.1,79.0,0.8840579710144932,0.8136100061365643,0.7844200231095125,77.22,75.41000000000001,73.75499999999998,73.66666666666669,
2019-05-15,9011399,"701,161,407",77.4,78.2,77.1,77.7,-0.5,"4,412",72.1,79.0,0.8115942028985513,0.8129380717238933,0.793926039314306,77.47999999999999,75.84000000000002,73.96,73.75000000000001,
2019-05-16,8956263,"691,054,905",77.3,77.8,76.7,76.8,-0.9,"4,595",72.1,79.0,0.6811594202898549,0.7690118545792137,0.7856213110692751,77.53999999999999,76.15,74.16,73.81333333333335,
2019-05-17,14417392,"1,132,640,798",77.8,79.2,77.2,78.8,2.0,"6,981",72.8,79.2,0.9374999999999992,0.8251745697194754,0.7988057306193418,77.84,76.65,74.54499999999999,73.91500000000002,
2019-05-20,12206669,"972,390,409",78.2,80.0,78.2,80.0,1.2,"6,504",74.5,80.0,1.0,0.8834497131463168,0.8270203914616667,78.3,77.34,74.965,74.02500000000003,
2019-05-21,15459628,"1,253,627,268",80.1,81.5,80.1,81.4,1.4,"8,150",74.5,81.5,0.9857142857142865,0.9175379040023067,0.8571928956418801,78.94,78.08000000000001,75.45,74.15500000000002,
2019-05-22,9160993,"729,063,139",81.0,81.0,79.4,79.5,-1.9,"4,795",76.0,81.5,0.6363636363636364,0.82381314812275,0.8460663131355033,79.3,78.39000000000001,75.825,74.25666666666669,
2019-05-23,10275372,"823,291,109",80.7,80.7,79.7,80.0,0.5,"5,310",76.7,81.5,0.6874999999999998,0.7783754320818332,0.8235026861176131,79.94,78.74000000000001,76.225,74.35333333333337,
2019-05-24,6869544,"549,163,884",80.5,81.0,79.2,80.0,0.0,"3,707",76.7,81.5,0.6874999999999998,0.7480836213878888,0.7983629978743716,80.17999999999999,79.01000000000002,76.655,74.4366666666667,
2019-05-27,7562555,"609,677,850",80.0,81.4,79.6,80.9,0.9,"4,005",76.7,81.5,0.8750000000000011,0.7903890809252595,0.7957050255580008,80.35999999999999,79.33000000000001,77.1,74.54500000000003,
2019-05-28,20598847,"1,674,898,707",81.0,81.4,80.8,81.4,0.5,"4,089",76.7,81.5,0.9791666666666679,0.8533149428390623,0.8149083313183545,80.35999999999999,79.65,77.53,74.66000000000003,
2019-05-29,8069687,"653,182,487",81.4,81.5,80.4,81.0,-0.4,"3,990",77.2,81.5,0.883720930232558,0.8634502719702275,0.8310889782023121,80.66,79.97999999999999,77.91,74.76000000000002,
2019-05-30,9830101,"788,932,690",79.7,80.8,79.7,80.1,-0.9,"4,015",78.2,81.5,0.5757575757575737,0.7675527065660095,0.8099102209902111,80.67999999999999,80.31,78.22999999999999,74.8866666666667,
2019-05-31,12592431,"1,014,559,551",80.3,81.4,79.7,81.3,1.2,"6,196",79.2,81.5,0.9130434782608682,0.8160496304642957,0.811956690814906,80.94,80.56,78.60499999999999,75.0316666666667,
2019-06-03,4951860,"401,502,366",81.7,81.7,80.4,80.9,-0.4,"3,121",79.2,81.7,0.6800000000000012,0.7706997536428641,0.7982043784242253,80.94000000000001,80.65,78.995,75.15833333333335,
2019-06-04,5594221,"451,369,580",80.5,81.0,80.5,80.9,0.0,"2,652",79.2,81.7,0.6800000000000012,0.7404665024285764,0.7789584197590089,80.84,80.6,79.34,75.28833333333334,
2019-06-05,5914827,"480,461,632",81.0,81.5,80.6,81.5,0.6,"3,100",79.2,81.7,0.9199999999999988,0.8003110016190504,0.7860759470456893,80.94000000000001,80.8,79.595,75.45166666666667,
2019-06-06,5519941,"447,514,711",80.8,81.4,80.6,81.2,-0.3,"2,504",79.6,81.7,0.7619047619047629,0.7875089217142879,0.7865536052685554,81.16000000000001,80.92,79.83000000000001,75.59666666666666,
2019-06-10,7642122,"624,348,517",81.7,82.0,80.8,82.0,0.8,"3,340",79.7,82.0,1.0,0.8583392811428585,0.8104821638933231,81.30000000000001,81.12,80.06500000000001,75.75500000000001,
2019-06-11,8176450,"659,558,288",82.0,82.0,80.4,80.6,-1.4,"3,689",79.7,82.0,0.39130434782608375,0.7026609700372669,0.7745417659413043,81.24000000000001,81.09,80.21000000000001,75.90000000000002,
2019-06-12,6180446,"498,051,080",81.0,81.2,80.3,80.3,-0.3,"3,574",79.7,82.0,0.26086956521738913,0.5553971684306409,0.7014935667710831,81.12,80.98,80.315,76.03333333333335,
2019-06-13,18637934,"1,517,140,155",81.0,81.8,80.4,81.8,1.5,"3,119",79.7,82.0,0.9130434782608682,0.6746126050407166,0.6925332461942942,81.18,81.06,80.52,76.17500000000001,
2019-06-14,6276019,"506,888,602",80.9,81.2,80.6,80.6,-1.2,"2,443",80.3,82.0,0.17647058823529216,0.5085652661055751,0.6312105861647211,81.06,81.11,80.71,76.29166666666669,
2019-06-17,7057468,"566,413,818",80.3,80.8,79.8,79.9,-0.7,"3,070",79.8,82.0,0.04545454545454927,0.35419502588856644,0.5388720660726696,80.64000000000001,80.97,80.765,76.39833333333334,
2019-06-18,5480354,"440,550,901",80.3,81.0,80.0,80.4,0.5,"2,621",79.8,82.0,0.27272727272727626,0.32703910816813636,0.4682610801044918,80.6,80.92,80.785,76.51166666666667,
2019-06-19,12415994,"1,002,449,189",80.5,81.2,80.2,81.2,0.8,"5,290",79.8,82.0,0.6363636363636381,0.4301472842333036,0.4555564814807624,80.78,80.95000000000002,80.775,76.64,
2019-06-20,8706096,"712,533,502",82.0,82.1,81.5,81.8,0.6,"3,850",79.8,82.1,0.8695652173913054,0.5766199286193041,0.4959109638602763,80.78,80.98,80.89,76.77166666666668,
2019-06-21,16304627,"1,336,262,603",82.1,82.3,81.0,82.3,0.5,"3,830",79.8,82.3,1.0,0.7177466190795361,0.5698561822666962,81.12,81.09,81.005,76.90666666666668,
2019-06-24,5186698,"424,968,259",81.3,82.3,81.3,82.2,-0.1,"2,832",79.8,82.3,0.9600000000000023,0.7984977460530247,0.646070036862139,81.58,81.11,81.115,77.03,
2019-06-25,6130433,"501,373,046",81.2,82.2,81.2,82.0,-0.2,"3,422",79.8,82.3,0.8800000000000011,0.8256651640353501,0.7059350792532093,81.9,81.25,81.16999999999999,77.15166666666667,
2019-06-26,5055193,"412,267,229",82.0,82.1,81.3,81.4,-0.6,"2,095",79.8,82.3,0.6400000000000035,0.7637767760235679,0.7252156448433288,81.94,81.36,81.16999999999999,77.265,
2019-06-27,19714137,"1,631,458,931",82.2,83.8,82.0,82.0,0.6,"6,322",79.8,83.8,0.5500000000000007,0.6925178506823788,0.7143163801230121,81.97999999999999,81.38000000000001,81.22,77.38499999999999,
2019-06-28,8164024,"671,965,970",82.0,82.7,81.5,82.7,0.7,"2,424",80.0,83.8,0.710526315789475,0.6985206723847441,0.7090511442102561,82.05999999999999,81.59,81.35,77.51333333333332,
2019-07-01,5563139,"453,270,098",81.4,82.0,81.1,81.5,-1.2,"3,192",80.2,83.8,0.3611111111111109,0.5860508186268664,0.6680510356824595,81.91999999999999,81.75000000000001,81.36,77.61999999999998,
2019-07-02,5432757,"441,397,477",81.3,81.5,80.9,81.3,-0.2,"3,062",80.9,83.8,0.1379310344827561,0.4366775572454963,0.5909265428701385,81.78,81.84,81.38,77.72499999999998,
2019-07-03,4934884,"400,956,465",81.3,81.6,81.0,81.6,0.3,"2,746",80.9,83.8,0.24137931034482438,0.3715781416119389,0.5178104091174053,81.82000000000001,81.88000000000001,81.41499999999999,77.84999999999998,
2019-07-04,3782439,"306,908,628",81.5,81.7,80.8,81.5,-0.1,"2,389",80.8,83.8,0.23333333333333428,0.32549653885240404,0.45370578569573816,81.72,81.85000000000001,81.41499999999999,77.97666666666666,
2019-07-05,3018526,"246,374,046",81.5,82.0,81.3,82.0,0.5,"1,827",80.8,83.8,0.40000000000000097,0.350331025901603,0.4192475324310264,81.58000000000001,81.82000000000002,81.45499999999998,78.11833333333333,
2019-07-08,4593249,"374,126,036",81.6,81.8,81.2,81.8,-0.2,"1,963",80.8,83.8,0.3333333333333333,0.34466512837884644,0.39438673108029976,81.64000000000001,81.78,81.44499999999998,78.275,
2019-07-09,5974443,"490,865,662",81.7,82.9,81.3,82.9,1.1,"3,130",80.8,83.8,0.7000000000000028,0.46311008558589856,0.4172945159154993,81.96000000000001,81.87,81.55999999999999,78.43166666666666,
2019-07-10,6934064,"568,815,648",82.0,82.7,81.7,82.0,-0.9,"3,326",80.8,82.9,0.5714285714285705,0.49921624753345584,0.4446017597881515,82.04,81.93,81.645,78.57166666666666,
2019-07-11,6345774,"524,695,304",82.7,83.0,82.1,83.0,1.0,"2,843",80.8,83.0,1.0,0.6661441650223039,0.5184492281995356,82.34,82.03,81.705,78.72833333333331,
2019-07-12,4943432,"405,805,700",82.1,82.3,82.0,82.0,-1.0,"1,820",80.8,83.0,0.5454545454545461,0.6259142918330513,0.5542709160773742,82.34,81.96000000000001,81.775,78.88166666666665,
2019-07-15,4676451,"385,077,548",82.0,82.8,81.7,82.4,0.4,"2,275",80.8,83.0,0.7272727272727302,0.6597004369796109,0.589414089711453,82.46000000000001,82.05,81.9,79.06999999999996,
2019-07-16,4435191,"364,023,962",81.9,82.4,81.8,82.2,-0.2,"2,465",80.8,83.0,0.6363636363636381,0.6519215034409533,0.6102498942879531,82.32000000000001,82.14000000000001,81.99,79.24666666666663,
2019-07-17,5667425,"464,640,436",81.6,82.3,81.5,82.2,0.0,"2,552",81.2,83.0,0.5555555555555565,0.6197995208124877,0.6134331031294646,82.36,82.20000000000002,82.03999999999999,79.42166666666662,76.32999999999998
2019-07-18,4322293,"353,027,985",81.6,82.1,81.2,81.2,-1.0,"2,014",81.2,83.0,0.0,0.41319968054165845,0.5466886289335292,82.0,82.17000000000002,82.01,79.57499999999996,76.4125
2019-07-19,5566766,"456,297,417",81.8,82.4,81.3,81.8,0.6,"2,335",81.2,83.0,0.3333333333333307,0.38657756480554917,0.4933182742242025,81.96000000000001,82.15,81.985,79.73833333333329,76.49333333333333
2019-07-22,4009804,"327,450,014",81.8,81.9,81.5,81.6,-0.2,"1,622",81.2,83.0,0.22222222222221782,0.3317924506111054,0.4394763330198368,81.8,82.13000000000002,81.955,79.9083333333333,76.565
2019-07-23,6533473,"531,141,713",81.7,81.7,80.9,80.9,-0.7,"3,103",80.9,83.0,0.0,0.22119496707407027,0.36671587770458125,81.53999999999999,81.93000000000002,81.9,80.05666666666663,76.63166666666666
2019-07-24,8127988,"660,499,789",81.0,81.6,81.0,81.3,0.4,"2,692",80.9,82.8,0.21052631578947015,0.21763874997920357,0.31702350179612204,81.36,81.86000000000001,81.895,80.1983333333333,76.70833333333331
2019-07-25,12776542,"1,048,313,257",81.5,82.6,81.3,82.4,1.1,"5,195",80.9,82.8,0.7894736842105299,0.40825039472297897,0.34743246610507433,81.60000000000001,81.80000000000001,81.91499999999999,80.3483333333333,76.78833333333333
2019-07-26,5541709,"451,164,016",81.6,82.3,81.2,81.3,-1.1,"3,037",80.9,82.6,0.23529411764705538,0.35059830236433775,0.34848774485816214,81.50000000000001,81.73,81.845,80.47499999999997,76.85833333333332
2019-07-29,9542955,"767,498,122",81.0,81.1,79.6,80.3,-1.0,"3,860",79.6,82.6,0.23333333333333428,0.31150997935400326,0.3361618230234425,81.24000000000001,81.52000000000001,81.785,80.5833333333333,76.92333333333332
2019-07-30,5875838,"471,670,260",80.5,81.0,80.0,80.0,-0.3,"3,091",79.6,82.6,0.13333333333333522,0.25211776401378055,0.3081471366868885,81.06000000000002,81.3,81.72,80.6983333333333,76.98666666666665
2019-07-31,8836775,"712,867,172",80.0,81.0,80.0,80.8,0.8,"3,529",79.6,82.6,0.40000000000000097,0.30141184267585397,0.3059020386832103,80.96000000000001,81.16,81.67999999999999,80.81166666666664,77.04916666666665
2019-08-01,13926121,"1,080,763,699",78.3,78.3,77.1,77.1,X0.00,"6,219",77.1,82.6,0.0,0.2009412284505693,0.2709151019389966,79.90000000000002,80.74999999999999,81.46,80.82333333333331,77.08749999999999
2019-08-02,8975847,"686,283,787",76.1,77.6,75.7,76.8,-0.30,"3,990",75.7,82.6,0.15942028985507184,0.18710091558540348,0.2429770398211322,79.00000000000003,80.24999999999999,81.19999999999999,80.82833333333332,77.1233333333333
2019-08-05,6970761,"533,689,362",76.1,77.5,76.0,77.0,+0.20,"3,411",75.7,82.6,0.18840579710144909,0.187535876090752,0.22449665191100546,78.34000000000002,79.78999999999999,80.96,80.82333333333331,77.16583333333331
2019-08-06,8221123,"627,779,771",75.7,77.3,75.2,76.6,-0.40,"4,405",75.2,82.6,0.18918918918918826,0.18808698045689742,0.2123600947596361,77.66000000000001,79.35999999999999,80.64499999999998,80.80499999999999,77.19999999999999
