Date,Volume,成交金額,Open,High,Low,Close,漲跌價差,成交筆數,min,max,RSV,K,D,Ma_5,Ma_10,Ma_20,Ma_60,Ma_120
2019-01-14,6245952,"446,062,045",71.5,72.0,70.8,71.3,0.2,"3,239",67.0,72.1,0.8431372549019611,33.61437908496732,44.53812636165577,,,,,
2019-01-15,10404084,"749,244,840",71.8,72.2,71.6,72.1,0.8,"3,665",67.0,72.2,0.9807692307692292,22.736509133567953,37.27092061895983,,,,,
2019-01-16,12537243,"909,063,493",72.3,73.0,71.8,73.0,0.9,"3,501",67.0,73.0,1.0,15.491006089045301,30.010949108988317,,,,,
2019-01-17,11319370,"823,531,529",73.0,73.4,71.8,72.9,-0.1,"5,387",69.0,73.4,0.8863636363636365,10.622791938151412,23.54823005204268,,,,,
2019-01-18,6172520,"446,203,368",72.9,72.9,72.1,72.1,-0.8,"3,004",70.1,73.4,0.606060606060604,7.283881494121142,18.1267805327355,72.28,,,,
2019-01-21,7979371,"577,149,281",72.1,72.8,71.8,72.8,0.7,"2,622",70.1,73.4,0.8181818181818162,5.128648268808034,13.794069778093009,72.58,,,,
2019-01-22,5850213,"425,461,296",72.8,72.9,72.3,72.9,0.1,"1,580",70.1,73.4,0.848484848484849,3.701927128700305,10.43002222829544,72.73999999999998,,,,
2019-01-23,3727348,"271,309,651",73.4,73.4,72.3,72.5,-0.4,"2,104",70.5,73.4,0.6896551724137917,2.6978364766048006,7.8526269777318936,72.63999999999999,,,,
2019-01-24,7382587,"532,345,270",72.3,72.5,71.6,72.4,-0.1,"3,526",70.8,73.4,0.6153846153846166,2.003685856198073,5.9029799372206195,72.53999999999999,,,,
2019-01-25,7497390,"549,120,770",72.4,73.5,72.2,73.3,0.9,"3,372",71.6,73.5,0.8947368421052619,1.6340361848338025,4.479998686425014,72.78,72.53,,,
2019-01-28,6629050,"480,781,202",72.8,73.0,72.2,72.5,-0.8,"3,292",71.6,73.5,0.4736842105263174,1.247252193397974,3.402416522082667,72.72,72.65,,,
